Nama,IPK,Skor_Psikologi,Finansial,Status
Mahasiswa1,1.49816047538945,50,1,Bermasalah
Mahasiswa2,3.8028572256396647,70,0,Aman
Mahasiswa3,2.9279757672456204,95,1,Siaga
Mahasiswa4,2.3946339367881464,47,1,Bermasalah
Mahasiswa5,0.6240745617697461,18,1,Bermasalah
Mahasiswa6,0.6239780813448106,5,0,Siaga
Mahasiswa7,0.23233444867279784,83,1,Bermasalah
Mahasiswa8,3.4647045830997407,26,0,Siaga
Mahasiswa9,2.404460046972835,52,1,Bermasalah
Mahasiswa10,2.832290311184182,100,1,Siaga
Mahasiswa11,0.08233797718320979,47,1,Bermasalah
Mahasiswa12,3.8796394086479773,6,1,Bermasalah
Mahasiswa13,3.329770563201687,58,0,Siaga
Mahasiswa14,0.8493564427131046,68,1,Bermasalah
Mahasiswa15,0.7272998688284025,10,1,Bermasalah
Mahasiswa16,0.7336180394137353,14,0,Siaga
Mahasiswa17,1.216968971838151,63,0,Siaga
Mahasiswa18,2.0990257265289514,2,0,Siaga
Mahasiswa19,1.727780074568463,68,1,Bermasalah
Mahasiswa20,1.1649165607921677,22,0,Siaga
Mahasiswa21,2.447411578889518,52,0,Siaga
Mahasiswa22,0.5579754426081673,36,0,Siaga
Mahasiswa23,1.1685785941408726,8,0,Siaga
Mahasiswa24,1.4654473731747668,14,0,Siaga
Mahasiswa25,1.8242799368681437,2,0,Siaga
Mahasiswa26,3.1407038455720544,92,1,Aman
Mahasiswa27,0.7986951286334389,69,0,Siaga
Mahasiswa28,2.0569377536544464,16,1,Bermasalah
Mahasiswa29,2.36965827544817,25,0,Siaga
Mahasiswa30,0.1858016508799909,20,0,Siaga
Mahasiswa31,2.4301794076057535,71,0,Siaga
Mahasiswa32,0.6820964947491661,20,1,Bermasalah
Mahasiswa33,0.26020637194111806,10,0,Siaga
Mahasiswa34,3.795542149013333,37,0,Siaga
Mahasiswa35,3.8625281322982374,71,0,Aman
Mahasiswa36,3.2335893924658445,87,0,Aman
Mahasiswa37,1.2184550766934827,34,1,Bermasalah
Mahasiswa38,0.3906884560255355,13,1,Bermasalah
Mahasiswa39,2.7369321060486276,13,1,Bermasalah
Mahasiswa40,1.7606099749584052,9,1,Bermasalah
Mahasiswa41,0.4881529393791153,11,1,Bermasalah
Mahasiswa42,1.9807076404450807,37,0,Siaga
Mahasiswa43,0.13755408446087358,33,0,Siaga
Mahasiswa44,3.6372816083151283,40,0,Siaga
Mahasiswa45,1.0351199264000677,9,1,Bermasalah
Mahasiswa46,2.650089137415928,16,0,Siaga
Mahasiswa47,1.2468443043576438,16,1,Bermasalah
Mahasiswa48,2.0802720847112433,66,0,Siaga
Mahasiswa49,2.1868411173731186,61,1,Bermasalah
Mahasiswa50,0.7394178221021082,94,0,Siaga
Mahasiswa51,3.8783385110582342,0,0,Siaga
Mahasiswa52,3.100531293444458,11,0,Siaga
