Nama,IPK,Skor_Psikologi,Finansial,Status
Mahasiswa1,2.7592590710654576,102,0,Siaga
Mahasiswa2,3.9320633662130344,93,0,Aman
Mahasiswa3,3.4732506424177023,58,1,Siaga
Mahasiswa4,3.3216032246799045,84,1,Aman
Mahasiswa5,2.3243801990552377,92,0,Siaga
Mahasiswa6,2.1661677292905304,69,0,Siaga
Mahasiswa7,2.2791802208238403,54,1,Bermasalah
Mahasiswa8,3.7693863182827547,74,0,Aman
Mahasiswa9,3.1433046504069106,79,0,Aman
Mahasiswa10,3.2908049837625892,90,1,Aman
Mahasiswa11,2.0807604106874096,87,0,Siaga
Mahasiswa12,3.9281025038265507,98,1,Aman
Mahasiswa13,3.8222999602040844,57,0,Siaga
Mahasiswa14,2.3900874932898697,51,1,Bermasalah
Mahasiswa15,2.2799118554459543,61,1,Bermasalah
Mahasiswa16,2.4563886415304603,63,1,Bermasalah
Mahasiswa17,2.7010126751907584,53,0,Siaga
Mahasiswa18,3.0663780000254954,52,1,Bermasalah
Mahasiswa19,2.931525742051722,70,0,Siaga
Mahasiswa20,2.5786895683218605,90,1,Siaga
Mahasiswa21,3.2470922995456837,55,1,Siaga
Mahasiswa22,2.395486809560476,61,1,Bermasalah
Mahasiswa23,2.6468211304725866,52,0,Siaga
Mahasiswa24,2.715796242754121,76,0,Siaga
Mahasiswa25,3.0473762230266868,52,1,Bermasalah
Mahasiswa26,3.3338663855068758,66,0,Siaga
Mahasiswa27,2.6045548954589126,70,0,Siaga
Mahasiswa28,2.85787296733815,67,0,Aman
Mahasiswa29,3.1221198552468556,63,1,Siaga
Mahasiswa30,2.0888090719204886,71,0,Siaga
Mahasiswa31,3.2004416367300608,58,1,Siaga
Mahasiswa32,2.441689351377238,88,1,Bermasalah
Mahasiswa33,2.0243195241095355,59,1,Siaga
Mahasiswa34,3.9238477562549727,94,0,Aman
Mahasiswa35,3.8734428563271432,73,1,Bermasalah
Mahasiswa36,3.6463087941666643,87,0,Aman
Mahasiswa37,2.6027503123669535,57,0,Aman
Mahasiswa38,2.2046377932810657,60,1,Bermasalah
Mahasiswa39,3.313473569777879,59,1,Siaga
Mahasiswa40,2.8292985924695944,62,1,Siaga
Mahasiswa41,2.2728037210923,84,0,Siaga
Mahasiswa42,3.084725370798145,94,0,Bermasalah
Mahasiswa43,2.008949108810652,93,1,Bermasalah
Mahasiswa44,3.731764049700273,82,1,Aman
Mahasiswa45,2.5789059797672174,93,0,Aman
Mahasiswa46,3.321794179402195,62,0,Siaga
Mahasiswa47,2.706471965577417,63,1,Siaga
Mahasiswa48,2.9495563210185067,63,0,Aman
Mahasiswa49,2.915476666144216,51,0,Siaga
Mahasiswa50,2.3164085028684207,80,0,Siaga
Mahasiswa51,3.8625339946026154,98,0,Aman
Mahasiswa52,3.542386806714199,53,0,Siaga
Mahasiswa53,3.8153133617013397,62,0,Siaga
Mahasiswa54,3.863756395988943,89,1,Aman
Mahasiswa55,3.1669849313799183,49,0,Siaga
Mahasiswa56,3.8587959199236237,95,1,Aman
Mahasiswa57,2.1927484599479334,54,1,Bermasalah
Mahasiswa58,2.411461234079509,86,0,Siaga
Mahasiswa59,2.088041666775579,94,1,Bermasalah
Mahasiswa60,2.70172073056756,69,1,Siaga
Mahasiswa61,2.6977890659963837,75,1,Aman
Mahasiswa62,2.68263985621318,53,0,Siaga
Mahasiswa63,3.6338212799670053,67,1,Siaga
Mahasiswa64,2.5823517395973106,55,0,Aman
Mahasiswa65,2.5806763550739387,78,1,Siaga
Mahasiswa66,3.0002741180717485,55,1,Siaga
Mahasiswa67,2.348381903400413,63,1,Siaga
Mahasiswa68,3.825354519112317,63,1,Siaga
Mahasiswa69,2.0704440782037565,59,0,Siaga
Mahasiswa70,4.007011106523433,81,1,Aman
Mahasiswa71,3.368938979722852,57,1,Siaga
Mahasiswa72,2.4428218860124797,57,0,Siaga
Mahasiswa73,1.9224728542672358,97,0,Siaga
Mahasiswa74,3.5684393950662203,60,0,Siaga
Mahasiswa75,3.3035860387112512,58,1,Siaga
Mahasiswa76,3.531229458687448,58,0,Siaga
Mahasiswa77,3.6432711291192175,48,0,Siaga
Mahasiswa78,2.150427824934032,57,0,Siaga
Mahasiswa79,2.6304887865549733,62,0,Aman
Mahasiswa80,2.390690422660646,85,0,Siaga
Mahasiswa81,3.6511658389757216,58,0,Siaga
Mahasiswa82,3.0303930236623717,71,1,Aman
Mahasiswa83,2.707634950701005,71,0,Siaga
Mahasiswa84,2.0166392332078957,94,1,Bermasalah
Mahasiswa85,2.720825522781242,58,0,Aman
Mahasiswa86,2.612252874386152,89,0,Siaga
Mahasiswa87,3.519583680730548,80,0,Aman
Mahasiswa88,3.4152649773656423,91,1,Aman
Mahasiswa89,3.653539598690581,63,0,Siaga
Mahasiswa90,2.8878361372346584,64,0,Aman
Mahasiswa91,2.231621384610897,99,0,Siaga
Mahasiswa92,3.5802447063494243,93,0,Aman
Mahasiswa93,3.4557318254397504,65,1,Siaga
Mahasiswa94,3.063104025544092,74,1,Aman
Mahasiswa95,3.589748417464703,65,1,Siaga
Mahasiswa96,2.9298683201577242,94,1,Siaga
Mahasiswa97,3.06071824705375,98,1,Aman
Mahasiswa98,2.6999282946202863,76,0,Siaga
Mahasiswa99,2.27227124774385,89,0,Siaga
Mahasiswa100,2.0810119309556687,70,0,Siaga
Mahasiswa101,2.0306831009744473,79,1,Bermasalah
Mahasiswa102,3.2695727189433517,70,0,Aman
Mahasiswa103,2.8199807755883333,60,1,Siaga
Mahasiswa104,2.8846568042361316,59,0,Aman
Mahasiswa105,4.013503361400061,48,1,Bermasalah
Mahasiswa106,2.5743021404079522,77,0,Siaga
Mahasiswa107,2.862475378513584,89,0,Siaga
Mahasiswa108,3.412638908384302,87,0,Aman
Mahasiswa109,2.5147104551870525,94,0,Siaga
Mahasiswa110,2.0816111574156055,69,1,Bermasalah
Mahasiswa111,2.7061690311473776,91,0,Siaga
Mahasiswa112,2.2253363715972356,61,0,Siaga
Mahasiswa113,3.848079455239538,54,0,Siaga
Mahasiswa114,3.560713450327517,66,1,Siaga
Mahasiswa115,3.1680552167781477,101,0,Aman
