Nama,IPK,Skor_Psikologi,Finansial,Status
Mahasiswa1,2.749080237694725,66,0,Aman
Mahasiswa2,3.9014286128198323,58,0,Siaga
Mahasiswa3,3.46398788362281,82,0,Aman
Mahasiswa4,3.197316968394073,69,1,Siaga
Mahasiswa5,2.312037280884873,62,0,Siaga
Mahasiswa6,2.3119890406724055,77,0,Siaga
Mahasiswa7,2.116167224336399,97,1,Bermasalah
Mahasiswa8,3.73235229154987,78,1,Aman
Mahasiswa9,3.2022300234864174,62,1,Siaga
Mahasiswa10,3.416145155592091,95,1,Aman
Mahasiswa11,2.041168988591605,84,0,Siaga
Mahasiswa12,3.9398197043239884,55,0,Siaga
Mahasiswa13,3.6648852816008435,67,0,Siaga
Mahasiswa14,2.4246782213565523,100,0,Siaga
Mahasiswa15,2.3636499344142012,54,1,Bermasalah
Mahasiswa16,2.3668090197068676,96,0,Siaga
Mahasiswa17,2.6084844859190754,74,0,Siaga
Mahasiswa18,3.049512863264476,51,1,Bermasalah
Mahasiswa19,2.8638900372842313,59,0,Aman
Mahasiswa20,2.582458280396084,79,0,Siaga
Mahasiswa21,3.223705789444759,99,0,Aman
Mahasiswa22,2.278987721304084,94,0,Siaga
Mahasiswa23,2.5842892970704363,54,0,Siaga
Mahasiswa24,2.7327236865873834,82,0,Siaga
Mahasiswa25,2.912139968434072,50,1,Bermasalah
Mahasiswa26,3.570351922786027,67,1,Siaga
Mahasiswa27,2.3993475643167193,81,0,Siaga
Mahasiswa28,3.0284688768272234,96,0,Aman
Mahasiswa29,3.184829137724085,98,1,Aman
Mahasiswa30,2.0929008254399957,60,0,Siaga
Mahasiswa31,3.2150897038028767,70,0,Aman
Mahasiswa32,2.341048247374583,75,0,Siaga
Mahasiswa33,2.130103185970559,74,1,Bermasalah
Mahasiswa34,3.8977710745066663,71,0,Aman
Mahasiswa35,3.9312640661491187,76,1,Aman
Mahasiswa36,3.6167946962329225,98,0,Aman
Mahasiswa37,2.609227538346741,62,1,Siaga
Mahasiswa38,2.1953442280127677,82,1,Bermasalah
Mahasiswa39,3.3684660530243136,83,0,Aman
Mahasiswa40,2.8803049874792026,90,1,Siaga
Mahasiswa41,2.2440764696895577,84,0,Siaga
Mahasiswa42,2.9903538202225404,50,1,Bermasalah
Mahasiswa43,2.068777042230437,70,0,Siaga
Mahasiswa44,3.818640804157564,97,0,Aman
Mahasiswa45,2.517559963200034,55,1,Siaga
Mahasiswa46,3.325044568707964,77,0,Aman
Mahasiswa47,2.623422152178822,66,0,Aman
Mahasiswa48,3.0401360423556216,54,1,Bermasalah
Mahasiswa49,3.0934205586865593,80,0,Aman
Mahasiswa50,2.3697089110510543,54,0,Siaga
Mahasiswa51,3.939169255529117,87,1,Aman
Mahasiswa52,3.550265646722229,52,1,Bermasalah
Mahasiswa53,3.8789978831283785,72,0,Aman
Mahasiswa54,3.789654700855298,86,0,Aman
Mahasiswa55,3.19579995762217,86,1,Aman
Mahasiswa56,3.8437484700462337,59,1,Siaga
Mahasiswa57,2.176985004103839,59,0,Siaga
Mahasiswa58,2.3919657248382906,68,1,Bermasalah
Mahasiswa59,2.090454577821076,66,0,Siaga
Mahasiswa60,2.650660661526529,70,0,Siaga
Mahasiswa61,2.7773545793789642,63,0,Aman
Mahasiswa62,2.5426980635477916,58,0,Aman
Mahasiswa63,3.6574750183038587,95,0,Aman
Mahasiswa64,2.713506653387179,50,1,Bermasalah
Mahasiswa65,2.5618690193747615,100,1,Siaga
Mahasiswa66,3.085392166316497,94,1,Aman
Mahasiswa67,2.2818484499495253,62,1,Bermasalah
Mahasiswa68,3.6043939615080793,53,0,Siaga
Mahasiswa69,2.1491012873595414,50,0,Siaga
Mahasiswa70,3.9737738732010346,98,0,Aman
Mahasiswa71,3.544489538593315,89,0,Aman
Mahasiswa72,2.397431363068345,81,1,Bermasalah
Mahasiswa73,2.011044234247205,83,0,Siaga
Mahasiswa74,3.6309228569096685,77,0,Aman
Mahasiswa75,3.4137146876952342,80,1,Aman
Mahasiswa76,3.4580143360819746,57,1,Siaga
Mahasiswa77,3.5425406933718913,88,1,Aman
Mahasiswa78,2.148089303468181,75,1,Bermasalah
Mahasiswa79,2.7169314570885454,83,0,Siaga
Mahasiswa80,2.2317381190502594,52,0,Siaga
Mahasiswa81,3.7262068517511873,99,1,Aman
Mahasiswa82,3.246596253655116,61,0,Siaga
Mahasiswa83,2.6617960497052984,50,0,Siaga
Mahasiswa84,2.1271167005720475,93,0,Siaga
Mahasiswa85,2.6219646434313244,54,1,Bermasalah
Mahasiswa86,2.650366644053494,79,0,Siaga
Mahasiswa87,3.459212356676128,79,1,Aman
Mahasiswa88,3.2751149427104265,66,0,Siaga
Mahasiswa89,3.774425485152653,97,0,Aman
Mahasiswa90,2.944429850323899,96,0,Siaga
Mahasiswa91,2.2391884918766034,72,1,Bermasalah
Mahasiswa92,3.42648957444599,64,0,Siaga
Mahasiswa93,3.521570097233795,86,1,Aman
Mahasiswa94,3.1225543951389927,70,1,Aman
Mahasiswa95,3.541934359909122,63,1,Siaga
Mahasiswa96,2.9875911927287815,51,0,Siaga
Mahasiswa97,3.0454656587639883,60,0,Siaga
Mahasiswa98,2.855082036717099,100,0,Siaga
Mahasiswa99,2.05083825348819,88,0,Siaga
Mahasiswa100,2.215782853986609,87,1,Bermasalah
Mahasiswa101,2.0628583713734683,83,1,Bermasalah
Mahasiswa102,3.272820822527561,87,1,Aman
Mahasiswa103,2.6287119621526536,99,0,Siaga
Mahasiswa104,3.0171413823294055,83,1,Aman
